SchemaName,TableName,create_date,modify_date
biams,BIAMSArchive_Copy,2025-12-21 15:17:01.937,2025-12-21 15:17:01.937
biams,BIAMSAuditArchive,2025-12-21 18:40:10.160,2025-12-21 18:40:10.160
biams,BIAMSAuditBranchProject,2025-09-18 17:55:00.827,2025-09-28 16:57:21.007
biams,BIAMSAuditReport,2025-09-18 17:54:55.147,2025-10-01 18:07:51.920
biams,BIAMSAuditReport_24_12_2025,2025-12-24 19:02:57.350,2025-12-24 19:02:57.350
biams,BIAMSAuditReport_UnplannedData,2025-12-08 15:37:15.737,2025-12-08 15:37:15.737
biams,BIAMSAuditReportCategoryDetail_UnplannedData,2025-12-08 15:53:42.537,2025-12-08 15:53:42.537
biams,BIAMSReportCategoryDetail,2025-09-18 17:55:06.183,2025-10-01 16:15:24.520
biams,BIAMSReportCategoryDetail_Copy,2025-11-20 15:05:14.020,2025-11-20 15:05:14.020
biams,ProcessedItem,2025-09-29 15:16:42.737,2025-09-29 15:16:42.737
bis,HeadingDataType,2022-08-22 05:37:16.560,2022-08-22 05:37:18.410
dbo,__EFMigrationsHistory,2021-12-01 12:09:29.770,2021-12-01 12:09:29.770
dbo,ApplicationInfo,2023-03-22 12:30:48.237,2023-03-22 12:30:48.470
dbo,Area_DP,2022-01-12 18:26:17.177,2022-01-30 19:41:21.237
dbo,AssessmentQuestion,2021-12-01 12:53:47.143,2021-12-01 12:53:47.860
dbo,AssignManager,2021-12-12 10:35:44.063,2024-11-24 18:32:38.863
dbo,AuditLog,2022-01-30 14:53:37.663,2022-01-30 19:41:21.247
dbo,AuditLogOperation,2021-08-22 12:09:51.250,2022-01-30 14:53:38.510
dbo,BracStaff,2023-03-22 16:06:41.947,2025-09-14 15:32:59.030
dbo,CommentAreaType,2026-01-11 12:58:37.500,2026-01-11 12:58:37.500
dbo,CoreProgramme,2021-09-16 13:15:35.140,2021-09-16 13:15:35.140
dbo,DashboardSnapshot,2026-08-04 14:33:12.733,2026-08-04 14:33:13.283
dbo,DashboardSnapshotDivision,2026-08-04 14:33:13.147,2026-08-04 14:33:13.147
dbo,DashboardSnapshotMapf,2026-08-04 14:33:13.150,2026-08-04 14:33:13.150
dbo,DashboardSnapshotPendingStatus,2026-08-04 14:33:13.040,2026-08-04 14:33:13.040
dbo,DashboardSnapshotPortfolio,2026-08-04 14:33:13.180,2026-08-04 14:33:13.303
dbo,DashboardSnapshotRegion,2026-08-04 14:33:13.120,2026-08-04 14:33:13.120
dbo,DashboardSnapshotRisk,2026-08-04 14:33:12.960,2026-08-04 14:33:13.303
dbo,DashboardSnapshotSummary,2026-08-04 14:33:12.780,2026-08-04 14:33:12.780
dbo,DB_Errors,2023-11-27 18:36:12.217,2023-11-27 18:36:12.217
dbo,DigitalSignature,2021-08-22 17:02:36.687,2024-11-24 18:32:38.990
dbo,DocumentRootPathConfig,2024-11-24 18:36:25.213,2024-11-24 18:36:25.213
dbo,EmailConfiguration,2022-04-05 11:57:17.573,2022-05-23 11:43:33.170
dbo,EmailNotificationHistory,2025-10-26 18:43:37.960,2025-10-26 18:43:37.960
dbo,EmailSendGridEvent,2026-06-21 17:14:58.733,2026-06-21 17:14:58.837
dbo,EmailSendLog,2026-06-21 17:14:58.153,2026-06-21 17:14:58.793
dbo,EmailSmsHistory,2022-05-23 11:43:32.763,2022-05-23 11:43:32.763
dbo,FinancialUpazila,2021-10-21 10:02:02.927,2022-04-13 15:12:52.243
dbo,ForwardingLetterTemplate,2026-07-15 10:58:33.730,2026-07-15 10:58:33.730
dbo,ForwardingLetterType,2022-08-16 11:30:42.670,2022-08-16 11:30:42.670
dbo,NotificationEventType,2023-04-18 09:52:42.000,2023-04-18 09:52:42.000
dbo,NotificationLog,2021-09-22 13:46:10.460,2021-09-22 13:52:03.660
dbo,NotificationPriority,2025-09-08 18:25:44.377,2025-09-08 18:25:44.377
dbo,NotificationQueueSystem,2022-11-07 16:17:52.870,2022-11-07 16:17:53.927
dbo,NotificationQueueSystemDetail,2022-11-07 16:12:56.183,2023-03-20 11:26:54.667
dbo,NotificationStatus,2025-09-08 18:25:29.683,2025-09-08 18:25:29.683
dbo,NotificationTemplateTag,2023-04-27 12:33:06.570,2025-09-03 17:28:18.020
dbo,NotificationTemplateTagDetail,2023-05-14 14:38:16.273,2023-05-14 14:38:16.273
dbo,NotificationType,2021-09-22 13:47:51.187,2023-04-12 12:15:51.740
dbo,ObjectType,2021-08-22 12:09:51.257,2022-01-30 19:41:21.270
dbo,ObservationTemplateMaster,2023-10-11 15:04:50.530,2023-10-11 15:04:50.603
dbo,ReleaseNote,2023-03-22 17:04:52.353,2023-03-22 17:13:24.020
dbo,ReleaseNoteDetail,2023-03-22 17:12:20.587,2023-03-22 17:12:57.360
dbo,Role_Wise_Rule_Setup_Client,2023-05-24 18:20:37.603,2023-05-24 18:20:37.603
dbo,Roles_List_Temp_Client,2023-05-24 18:11:46.037,2023-05-30 12:11:26.807
dbo,SecuredLink,2025-09-29 15:13:49.070,2026-06-04 12:57:11.860
dbo,SmsConfiguration,2022-04-05 16:08:42.983,2022-05-23 11:43:33.583
dbo,SyncHistory,2022-04-06 16:26:24.117,2022-04-06 16:26:41.570
dbo,sysdiagrams,2021-12-15 17:26:22.617,2021-12-15 17:26:22.617
dbo,SystemNotificationDetail,2025-09-09 18:12:19.907,2025-09-09 18:12:19.907
dbo,SystemValidationInfo,2022-02-23 12:15:46.340,2022-02-23 12:15:46.440
dbo,UtilitySqlResult,2022-01-30 17:33:41.140,2022-01-30 17:33:41.627
di,LoanCollectionInformation,2022-03-28 17:34:22.263,2022-03-28 17:34:22.953
di,LoanDisbursementInformation,2022-03-29 10:39:32.583,2022-03-29 10:59:46.807
di,LoanDisbursementOverdueInformation,2022-03-29 12:10:29.290,2022-03-29 12:10:30.013
di,Particular,2022-04-11 12:32:21.140,2022-04-11 12:32:21.793
di,PeriodPerformanceGrowth,2022-04-11 12:38:16.723,2022-04-11 12:38:16.927
di,SlaveWiseDisbursmentInformation,2022-03-29 13:08:25.050,2022-03-29 13:09:31.067
di,VoInformation,2022-03-27 17:58:58.940,2022-03-27 17:58:59.713
dms,Content,2021-08-22 12:10:00.240,2021-09-15 19:22:15.380
dms,ContentDetail,2021-08-22 12:10:00.240,2021-09-16 11:18:01.123
dms,ContentType,2021-08-22 12:10:00.243,2021-09-16 14:37:06.393
dms,Directory,2021-08-22 12:10:00.247,2021-09-16 14:37:31.750
dms,DocumentLibrary,2021-08-22 12:10:00.250,2021-09-19 17:28:22.750
dms,DocumentSource,2022-08-21 10:57:59.683,2022-08-21 10:57:59.683
dms,DocumentStructureConfiguration,2025-02-24 15:00:14.213,2025-02-24 15:00:15.363
dms,FileStorageHistory,2024-11-24 17:58:37.083,2024-11-24 17:58:37.083
dms,FileStorageType,2024-05-31 18:47:39.190,2024-05-31 18:47:39.190
dms,Node,2021-08-22 12:10:09.630,2021-09-16 11:20:16.877
dti,BranchRiskAnalysisData,2026-07-21 13:22:52.967,2026-07-21 13:22:52.967
HangFire,AggregatedCounter,2025-07-25 19:23:57.120,2025-07-25 19:23:57.447
HangFire,Counter,2025-07-25 19:23:57.020,2025-07-25 19:23:57.473
HangFire,Hash,2025-07-25 19:23:57.110,2025-07-25 19:23:57.480
HangFire,Job,2025-07-25 19:23:56.623,2025-07-25 19:23:57.453
HangFire,JobParameter,2025-07-25 19:23:56.747,2025-07-25 19:23:57.450
HangFire,JobQueue,2025-07-25 19:23:56.817,2025-07-25 19:23:57.490
HangFire,List,2025-07-25 19:23:56.933,2025-07-25 19:23:57.447
HangFire,Schema,2025-07-25 19:23:56.577,2025-07-25 19:23:56.577
HangFire,Server,2025-07-25 19:23:56.853,2025-07-25 19:23:57.470
HangFire,Set,2025-07-25 19:23:56.977,2025-07-25 19:23:57.477
HangFire,State,2025-07-25 19:23:56.690,2025-07-25 19:23:57.480
map,Branch,2022-02-22 13:05:11.803,2025-06-04 15:03:59.780
map,BranchProject,2025-06-04 15:03:58.450,2025-06-04 15:08:31.633
map,BranchProjectAudit,2025-06-04 15:05:16.573,2025-06-04 15:08:32.160
map,BranchProjectOrgArea,2024-05-31 18:52:43.210,2024-05-31 18:52:44.327
map,BranchProjectOrgDistrict,2024-05-31 18:53:37.890,2024-05-31 18:53:39.013
map,BranchProjectOrgDivision,2024-05-31 18:54:28.817,2024-05-31 18:54:30.013
map,BranchProjectOrgUpazila,2024-05-31 18:55:44.710,2024-05-31 18:55:45.700
map,BranchProjectRisk,2022-09-14 15:48:08.060,2026-07-21 11:08:28.970
map,BranchProjectRiskDetail,2022-01-08 15:10:14.530,2022-09-14 15:48:11.910
map,BRiskProject,2022-03-23 12:47:41.487,2022-03-23 12:47:42.023
map,Country,2022-09-13 12:52:40.787,2022-09-13 12:53:09.693
map,District,2022-01-04 15:32:36.830,2022-01-04 15:39:34.137
map,Division,2022-01-04 15:33:20.940,2022-09-13 12:52:45.583
map,Organization,2022-08-22 06:11:09.800,2022-09-13 12:52:44.370
map,OrgArea,2022-04-13 16:32:50.010,2024-05-31 18:52:44.327
map,OrgDistrict,2022-04-13 16:31:17.290,2024-05-31 18:53:39.013
map,OrgDivision,2022-04-13 16:30:42.627,2024-05-31 18:54:30.013
map,OrgUpazila,2022-04-13 16:31:59.750,2024-05-31 18:55:45.700
map,Programme,2023-05-06 11:42:33.717,2025-02-24 14:58:28.033
map,ProgrammeGroup,2022-01-17 11:08:39.930,2023-05-29 12:38:59.477
map,ProgrammeGroupProgramme,2022-03-30 10:39:09.083,2022-03-30 10:39:09.083
map,ProgrammeMappingHistory,2025-05-26 12:31:15.520,2025-05-26 12:31:15.520
map,ProgrammeSubProgramme,2022-03-30 10:33:52.033,2022-03-30 10:33:52.033
map,Project,2025-02-24 14:58:26.267,2026-08-06 15:52:49.080
map,SubProgramme,2023-05-06 11:45:54.253,2025-02-24 14:58:28.160
map,SubProgrammeProject,2022-03-30 10:51:10.347,2025-05-25 11:03:24.360
map,Upazila,2022-01-04 15:39:33.017,2022-02-22 13:05:13.263
mis,APRDetailsData,2025-07-27 11:16:03.877,2025-07-27 11:16:03.877
mis,AprFinalScoreData,2025-07-27 11:16:40.000,2025-07-27 11:16:40.000
mis,APRSummaryData,2025-07-27 11:20:31.113,2025-07-27 11:20:31.113
mis,DynamicMisReport,2025-02-24 14:47:10.860,2025-02-24 14:47:10.860
mis,MISDynamicReportData,2025-08-14 15:10:35.220,2026-05-17 10:23:53.157
